"legislature","url","name","born","sex","constituency","party","committee","photo","nyears"
6,"http://dati.camera.it/ocd/deputato.rdf/d2330_6","MARCELLO DI PUCCIO",1919,"M","Pisa","PARTITO COMUNISTA ITALIANO","XIII COMMISSIONE LAVORO, ASSISTENZA E PREVIDENZA SOCIALE, COOPERAZIONE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=2330&legislatura=6",4
10,"http://dati.camera.it/ocd/deputato.rdf/d23310_10","STEFANO DE LUCA",1942,"M","Palermo","PARTITO LIBERALE ITALIANO","V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE);XI COMMISSIONE (LAVORO PUBBLICO E PRIVATO);GIUNTA PER LE AUTORIZZAZIONI A PROCEDERE IN GIUDIZIO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23310&legislatura=10",4
11,"http://dati.camera.it/ocd/deputato.rdf/d23310_11","STEFANO DE LUCA",1942,"M","Palermo","PARTITO LIBERALE ITALIANO","VI COMMISSIONE (FINANZE)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23310&legislatura=11",9
9,"http://dati.camera.it/ocd/deputato.rdf/d23310_9","STEFANO DE LUCA",1942,"M","Palermo","PARTITO LIBERALE ITALIANO","IV COMMISSIONE (GIUSTIZIA);V COMMISSIONE (BILANCIO E PROGRAMMAZIONE - PARTECIPAZIONI STATALI);GIUNTA PER LE AUTORIZZAZIONI A PROCEDERE IN GIUDIZIO;COMMISSIONE PARLAMENTARE PER L'ESERCIZIO DEI POTERI DI CONTROLLO SULLA PROGRAMMAZIONE E SULL'ATTUAZIONE DEGLI INTERVENTI ORDINARI E STRAORDINARI NEL MEZZOGIORNO;COMMISSIONE PARLAMENTARE PER IL PARERE AL GOVERNO SULLA DESTINAZIONE DEI FONDI PER LA RICOSTRUZIONE DEL BELICE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23310&legislatura=9",0
10,"http://dati.camera.it/ocd/deputato.rdf/d23320_10","EMILIO MARIO DE ROSE",1939,"M","Verona","PARTITO SOCIALISTA ITALIANO","VII COMMISSIONE (CULTURA, SCIENZA E ISTRUZIONE);XII COMMISSIONE (AFFARI SOCIALI)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23320&legislatura=10",4
9,"http://dati.camera.it/ocd/deputato.rdf/d23320_9","EMILIO MARIO DE ROSE",1939,"M","Verona","PARTITO SOCIALISTA DEMOCRATICO ITALIANO","V COMMISSIONE (BILANCIO E PROGRAMMAZIONE - PARTECIPAZIONI STATALI);XIV COMMISSIONE (IGIENE  E SANITÃ PUBBLICA);COMMISSIONE PARLAMENTARE PER IL PARERE AL GOVERNO SUI DECRETI PER LA DETERMINAZIONE DELL'ONERE RELATIVO AI REGOLAMENTI COMUNITARI DIRETTAMENTE APPLICABILI NELL'ORDINAMENTO INTERNO AI SENSI DELL'ARTICOLO 189 DEL TRATTATO ISTITUTIVO DELLA COMUNITÃ ECONOMICA EUROPEA","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23320&legislatura=9",0
9,"http://dati.camera.it/ocd/deputato.rdf/d23330_9","MARIO DI BARTOLOMEI",1931,"M","Roma","REPUBBLICANO","II COMMISSIONE (AFFARI DELLA PRESIDENZA DEL CONSIGLIO - AFFARI INTERNI E DI CULTO - ENTI PUBBLICI);XI COMMISSIONE (AGRICOLTURA E FORESTE);COMMISSIONE PARLAMENTARE PER LE QUESTIONI REGIONALI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23330&legislatura=9",0
10,"http://dati.camera.it/ocd/deputato.rdf/d23340_10","GIULIO DI DONATO",1947,"M","Napoli","PARTITO SOCIALISTA ITALIANO","II COMMISSIONE (GIUSTIZIA);V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23340&legislatura=10",4
11,"http://dati.camera.it/ocd/deputato.rdf/d23340_11","GIULIO DI DONATO",1947,"M","Napoli","PARTITO SOCIALISTA ITALIANO","II COMMISSIONE (GIUSTIZIA)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23340&legislatura=11",9
9,"http://dati.camera.it/ocd/deputato.rdf/d23340_9","GIULIO DI DONATO",1947,"M","Napoli","PARTITO SOCIALISTA ITALIANO","II COMMISSIONE (AFFARI DELLA PRESIDENZA DEL CONSIGLIO - AFFARI INTERNI E DI CULTO - ENTI PUBBLICI);IX COMMISSIONE (LAVORI PUBBLICI)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23340&legislatura=9",0
10,"http://dati.camera.it/ocd/deputato.rdf/d23350_10","PASQUALE DIGLIO",1941,"M","Bari","PARTITO SOCIALISTA ITALIANO","X COMMISSIONE (ATTIVITÃ PRODUTTIVE, COMMERCIO E TURISMO);XIII COMMISSIONE (AGRICOLTURA);COMMISSIONE PARLAMENTARE PER IL CONTROLLO SUGLI INTERVENTI NEL MEZZOGIORNO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23350&legislatura=10",4
11,"http://dati.camera.it/ocd/deputato.rdf/d23350_11","PASQUALE DIGLIO",1941,"M","Bari","PARTITO SOCIALISTA ITALIANO","XIII COMMISSIONE (AGRICOLTURA)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23350&legislatura=11",9
